Customer,Program,City,County,Region,Allocation (kW),Jobs Committed,Date
Thermo Fisher Scientific Inc.,Replacement Power,Grand Island,Erie,Western New York,375,*,10/01/2023
Thermo Fisher Scientific Inc.,Expansion Power,Grand Island,Erie,Western New York,3600,"1,203",10/01/2023
Thermo Fisher Scientific Inc.,Replacement Power,Grand Island,Erie,Western New York,2270,*,10/01/2023
Thinking Robot Studios Inc.,Replacement Power,Buffalo,Erie,Western New York,2000,88,10/01/2023
"Time Release Sciences, Inc.",Replacement Power,Lackawanna,Erie,Western New York,250,*,10/01/2023
"Time Release Sciences, Inc.",Replacement Power,Lackawanna,Erie,Western New York,200,*,10/01/2023
"Time Release Sciences, Inc.",Replacement Power,Lackawanna,Erie,Western New York,250,*,10/01/2023
"Time Release Sciences, Inc.",Replacement Power,Lackawanna,Erie,Western New York,200,108,10/01/2023
"Time Release Sciences, Inc.",Replacement Power,Lackawanna,Erie,Western New York,180,*,10/01/2023
"Tops Market, LLC",Expansion Power,Lancaster,Erie,Western New York,550,560,10/01/2023
"Tops Market, LLC",Expansion Power,Lancaster,Erie,Western New York,700,*,10/01/2023
"Tops Markets, LLC",Replacement Power,West Seneca,Erie,Western New York,200,*,10/01/2023
"Tops Markets, LLC",Replacement Power,West Seneca,Erie,Western New York,600,62,10/01/2023
"Trek, Inc.",Expansion Power,Lockport,Niagara,Western New York,350,152,10/01/2023
Trinity Packaging Corporation,Replacement Power,Cheektowaga,Erie,Western New York,200,150,10/01/2023
"Try-It Distributing Co., Inc.",Expansion Power,Lancaster,Erie,Western New York,200,265,10/01/2023
"Try-It Distributing Co., Inc.",Expansion Power,Lancaster,Erie,Western New York,350,*,10/01/2023
Tulip Molded Plastics Corporation,Expansion Power,Niagara Falls,Niagara,Western New York,300,*,10/01/2023
Tulip Molded Plastics Corporation,Replacement Power,Niagara Falls,Niagara,Western New York,1200,70,10/01/2023
Tulip Molded Plastics Corporation,Replacement Power,Niagara Falls,Niagara,Western New York,290,*,10/01/2023
Unifrax I LLC,Replacement Power,Tonawanda,Erie,Western New York,1400,*,10/01/2023
Unifrax I LLC,Replacement Power,Tonawanda,Erie,Western New York,1000,*,10/01/2023
Unifrax I LLC,Replacement Power,Tonawanda,Erie,Western New York,900,*,10/01/2023
Unifrax I LLC,Replacement Power,Tonawanda,Erie,Western New York,1000,55,10/01/2023
Unifrax I LLC - Sanborn,Replacement Power,Sanborn,Niagara,Western New York,1000,95,10/01/2023
